Account Name,Action,Ticker
Demo_2,SELL,ENRUS
Account Name,Action,Ticker
Demo_1,HOLD,ENRUS
Account Name,Action,Ticker
Demo_2,SELL,ENRUS
Account Name,Action,Ticker
Demo_1,HOLD,AIRFR
Account Name,Action,Ticker
Demo_2,BUY,AIRFR
Account Name,Action,Ticker
Demo_1,HOLD,CAT
Account Name,Action,Ticker
Demo_2,BUY,CAT
Account Name,Action,Ticker
Demo_1,HOLD,ARKK
Account Name,Action,Ticker
Demo_2,BUY,ARKK
Account Name,Action,Ticker
Demo_1,HOLD,TEAM
Account Name,Action,Ticker
Demo_2,BUY,TEAM
Account Name,Action,Ticker
Demo_1,HOLD,ADSGN
Account Name,Action,Ticker
Demo_2,BUY,ADSGN
Account Name,Action,Ticker
Demo_1,HOLD,CTLT
Account Name,Action,Ticker
Demo_2,BUY,CTLT
Account Name,Action,Ticker
Demo_1,HOLD,ENRUS
Account Name,Action,Ticker
Demo_1,HOLD,ENRUS
Account Name,Action,Ticker
Demo_2,SELL,ENRUS
Account Name,Action,Ticker
Demo_1,HOLD,CAT
Account Name,Action,Ticker
Demo_2,BUY,CAT
Account Name,Action,Ticker
Demo_1,HOLD,ARKK
Account Name,Action,Ticker
Demo_2,BUY,ARKK
Account Name,Action,Ticker
Demo_1,HOLD,TEAM
Account Name,Action,Ticker
Demo_2,BUY,TEAM
Account Name,Action,Ticker
Demo_1,HOLD,CTLT
Account Name,Action,Ticker
Demo_2,BUY,CTLT
Account Name,Action,Ticker
Demo_1,HOLD,GOOGL
Account Name,Action,Ticker
Demo_2,SELL,GOOGL
Account Name,Action,Ticker
Demo_1,HOLD,V
Account Name,Action,Ticker
Demo_2,BUY,V
Account Name,Action,Ticker
Demo_1,HOLD,NVDA
Account Name,Action,Ticker
Demo_2,BUY,NVDA
Account Name,Action,Ticker
Demo_1,HOLD,AAPL
Account Name,Action,Ticker
Demo_2,SELL,AAPL
Account Name,Action,Ticker
Demo_1,HOLD,ENRUS
Account Name,Action,Ticker
Demo_2,SELL,ENRUS
Account Name,Action,Ticker
Demo_1,HOLD,CAT
Account Name,Action,Ticker
Demo_2,BUY,CAT
Account Name,Action,Ticker
Demo_1,HOLD,ARKK
Account Name,Action,Ticker
Demo_2,BUY,ARKK
Account Name,Action,Ticker
Demo_1,HOLD,TEAM
Account Name,Action,Ticker
Demo_2,BUY,TEAM
Account Name,Action,Ticker
Demo_1,HOLD,CTLT
Account Name,Action,Ticker
Demo_2,BUY,CTLT
Account Name,Action,Ticker
Demo_1,HOLD,GOOGL
Account Name,Action,Ticker
Demo_2,SELL,GOOGL
Account Name,Action,Ticker
Demo_1,HOLD,V
Account Name,Action,Ticker
Demo_2,BUY,V
Account Name,Action,Ticker
Demo_1,HOLD,NVDA
Account Name,Action,Ticker
Demo_2,BUY,NVDA
Account Name,Action,Ticker
Demo_1,HOLD,AAPL
Account Name,Action,Ticker
Demo_2,SELL,AAPL
Account Name,Action,Ticker
Demo_1,HOLD,ENRUS
Account Name,Action,Ticker
Demo_2,SELL,ENRUS
Account Name,Action,Ticker
Demo_1,HOLD,CAT
Account Name,Action,Ticker
Demo_2,BUY,CAT
Account Name,Action,Ticker
Demo_1,HOLD,ARKK
Account Name,Action,Ticker
Demo_1,HOLD,ENRUS
Account Name,Action,Ticker
Demo_2,SELL,ENRUS
Account Name,Action,Ticker
Demo_1,HOLD,CAT
Account Name,Action,Ticker
Demo_2,BUY,CAT
Account Name,Action,Ticker
Demo_1,HOLD,ARKK
Account Name,Action,Ticker
Demo_2,BUY,ARKK
Account Name,Action,Ticker
Demo_1,HOLD,TEAM
Account Name,Action,Ticker
Demo_2,BUY,TEAM
Account Name,Action,Ticker
Demo_1,HOLD,ENRUS
Account Name,Action,Ticker
Demo_1,HOLD,ENRUS
Account Name,Action,Ticker
Demo_1,HOLD,ENRUS
Account Name,Action,Ticker
Demo_2,BUY,ENRUS
Account Name,Action,Ticker
Demo_1,HOLD,CAT
Account Name,Action,Ticker
Demo_2,BUY,CAT
Account Name,Action,Ticker
Demo_1,HOLD,ARKK
Account Name,Action,Ticker
Demo_2,BUY,ARKK
Account Name,Action,Ticker
Demo_1,HOLD,TEAM
Account Name,Action,Ticker
Demo_2,BUY,TEAM
Account Name,Action,Ticker
Demo_1,HOLD,CTLT
Account Name,Action,Ticker
Demo_2,BUY,CTLT
Account Name,Action,Ticker
Demo_1,HOLD,GOOGL
Account Name,Action,Ticker
Demo_2,SELL,GOOGL
Account Name,Action,Ticker
Demo_1,HOLD,V
Account Name,Action,Ticker
Demo_2,BUY,V
Account Name,Action,Ticker
Demo_1,HOLD,NVDA
Account Name,Action,Ticker
Demo_2,SELL,NVDA
Account Name,Action,Ticker
Demo_1,HOLD,AAPL
Account Name,Action,Ticker
Demo_2,SELL,AAPL
Account Name,Action,Ticker
Demo_1,HOLD,ENRUS
Account Name,Action,Ticker
Demo_1,HOLD,PYPL
Account Name,Action,Ticker
Demo_1,HOLD,ENRUS
Account Name,Action,Ticker
Demo_1,HOLD,AIRFR
Account Name,Action,Ticker
Demo_1,HOLD,CAT
Account Name,Action,Ticker
Demo_1,HOLD,BYND
Account Name,Action,Ticker
Demo_1,HOLD,ARKK
Account Name,Action,Ticker
Demo_1,HOLD,TEAM
Account Name,Action,Ticker
Demo_1,HOLD,ADSGN
Account Name,Action,Ticker
Demo_1,HOLD,CTLT
Account Name,Action,Ticker
Demo_1,HOLD,GOOGL
Account Name,Action,Ticker
Demo_1,HOLD,V
Account Name,Action,Ticker
Demo_1,HOLD,NVDA
Account Name,Action,Ticker
Demo_1,HOLD,AAPL
